euid,source_id,first_assignment_baseline,status
ART15250707-20250707-0001,ART15250707,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250707-20250707-0003,ART15250707,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250707-20250707-0004,ART15250707,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250707-20250707-0005,ART15250707,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250707-20250707-0006,ART15250707,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250707-20250707-0007,ART15250707,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250707-20250707-0009,ART15250707,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250707-20250707-0011,ART15250707,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250707-20250707-0013,ART15250707,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250707-20250707-0015,ART15250707,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250707-20250707-0017,ART15250707,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250707-20250707-0018,ART15250707,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250707-20250707-0019,ART15250707,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250707-20250707-0020,ART15250707,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250707-20250707-0021,ART15250707,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250707-20250707-0023,ART15250707,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250707-20250707-0025,ART15250707,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250707-20250707-0027,ART15250707,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250805-20250805-0001,ART15250805,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250805-20250805-0003,ART15250805,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250805-20250805-0004,ART15250805,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250805-20250805-0005,ART15250805,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250805-20250805-0006,ART15250805,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250805-20250805-0007,ART15250805,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250805-20250805-0008,ART15250805,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250805-20250805-0009,ART15250805,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250805-20250805-0011,ART15250805,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250805-20250805-0013,ART15250805,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250805-20250805-0015,ART15250805,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250805-20250805-0017,ART15250805,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250805-20250805-0019,ART15250805,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART15250805-20250805-0021,ART15250805,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0001,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0003,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0004,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0005,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0006,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0007,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0008,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0010,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0012,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0014,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0016,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0018,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0020,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0022,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0024,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0026,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0027,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0028,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0030,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0032,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0034,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0035,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0036,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0038,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0040,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0042,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0043,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0045,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250612-20250612-0047,ART16250612,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250615-20250615-0001,ART16250615,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250615-20250615-0003,ART16250615,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250615-20250615-0004,ART16250615,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
ART16250615-20250615-0005,ART16250615,576100898c26d65b2827cbbc401a277151a9acf9+uncommitted-corpus-build,ACTIVE
